,disease,diagnosis lists,manual_label_1,manual label,score,conversations
0,acne,"['Acne vulgaris', 'Folliculitis', 'Rosacea', 'Contact dermatitis']",1,1,5,"[""Patient: Hello, doctor. I've been having a really bad rash on my skin lately. It's full of pus-filled pimples and blackheads. My skin has also been scarring a lot."", ""Diagnosis: ['Acne vulgaris', 'Folliculitis', 'Rosacea', 'Contact dermatitis']"", 'Doctor: Based on your symptom of rash with pus-filled pimples, blackheads, and scarring, there are several conditions that might be causing this. However, to improve the accuracy of our potential diagnosis, could you please provide more information about any medical history or current medications you may be taking? Additionally, are you experiencing any other symptoms like itching, swelling, or pain in the affected area? This information will help us narrow down the possibilities.', 'Patient: I do not have more information. I do not know.', 'Doctor: Based on the information you provided, the possible conditions that could be causing your symptoms are Acne vulgaris, Folliculitis, Rosacea, or Contact dermatitis. It is important to consult a medical professional for an accurate diagnosis and appropriate treatment options. If you have any more questions or symptoms to report in the future, feel free to reach out.']"
1,acne,"['Acne Vulgaris', 'Folliculitis', 'Contact Dermatitis', 'Impetigo']",1,1,5,"[""Patient: I've developed a severe rash on my skin. It's clogged with pus-filled pimples and blackheads. My skin has also been quite sensitive."", ""Diagnosis: ['Acne Vulgaris', 'Folliculitis', 'Contact Dermatitis', 'Impetigo']"", ""Doctor: Based on your description of a severe rash with pus-filled pimples and blackheads, some possible conditions could be Acne Vulgaris, Folliculitis, Contact Dermatitis, or Impetigo. To improve the accuracy of the diagnosis, it would be helpful to know more about any recent changes in your skincare products, your medical history, or any medications you're currently taking. Could you provide more details on these aspects?"", 'Patient: I do not have more information.', ""Doctor: Based on the symptoms you've described, the possible conditions could include Acne Vulgaris, Folliculitis, Contact Dermatitis, or Impetigo. Since you don't have more questions or additional information to provide, I would recommend consulting a medical professional for a thorough examination and a more accurate diagnosis. Your healthcare provider can offer the most suitable treatment options for your condition.""]"
2,allergy,"['Contact Dermatitis', 'Eczema', 'Allergic Reaction', 'Rosacea']",0,1,2,"['Patient: Hello, doctor. My skin is itchy and red, and sometimes it even peels. My lips and cheeks tend to swell, which is really annoying. I also sometimes get headaches and watery eyes because of the swelling.', ""Diagnosis: ['Contact Dermatitis', 'Eczema', 'Allergic Reaction', 'Rosacea']"", ""Doctor: Thank you for the details you've provided. To improve the accuracy of the diagnosis, could you please tell me if you have any history of allergies, or if you are currently taking any medications? Additionally, do you experience these symptoms after exposure to certain substances or foods?"", ""Patient: I do not know if I have a history of allergies, and I am not currently taking any medications. I haven't noticed a specific pattern with substances or foods."", ""Diagnosis: ['Contact Dermatitis', 'Eczema', 'Allergic Reaction', 'Rosacea']"", ""Doctor: Thank you for providing that information. Since you are uncertain about your allergy history and medication, let's explore other factors. Have you noticed if these symptoms worsen at specific times of the day, or in particular environments like places that are dusty or have strong odors? Additionally, do you have any other symptoms such as respiratory issues, skin blisters, or fever that you didn't mention earlier?"", ""Patient: I haven't noticed if the symptoms worsen at specific times of the day, but I do think they might be worse in dusty places or places with strong odors. I do not have more symptoms like respiratory issues, skin blisters, or fever."", ""Diagnosis: ['Contact Dermatitis', 'Eczema', 'Allergic Reaction', 'Rosacea']"", ""Doctor: Thank you for providing additional context about the environments in which your symptoms might worsen. While we have a strong set of initial possibilities, it's important to explore any further details that could help narrow things down. Since you mentioned dusty places and strong odors can exacerbate the symptoms, consider if there's any exposure to irritants like cleaning products or aerosols. Would you like to provide more information about your symptoms to enhance the accuracy of the diagnosis?"", 'Patient: I do not have more information.', ""Doctor: Based on the symptoms you've described, possible illnesses include Contact Dermatitis, which may occur due to exposure to irritants or allergens, Eczema, characterized by itchy and inflamed skin, an Allergic Reaction, potentially triggered by environmental factors, and Rosacea, which often affects facial skin. Since you are experiencing persistent symptoms, I advise consulting a medical professional for a comprehensive evaluation and personalized treatment plan.""]"
3,allergy,"['Allergic Rhinitis', 'Sinusitis', 'Viral Upper Respiratory Infection', 'Angioedema']",1,1,5,"[""Patient: Hello, doctor. I have a sore throat and I am sneezing all the time. Sometimes my face swells up, especially my lips and the area around my eyes. I can't stop sneezing once I start."", ""Diagnosis: ['Allergic Rhinitis', 'Sinusitis', 'Viral Upper Respiratory Infection', 'Angioedema']"", ""Doctor: Thank you for the information you've provided so far. To improve the accuracy of the diagnosis, could you let me know if you have any other symptoms such as a fever, a headache, or any difficulty breathing? Additionally, please inform me about any medical history or medications you're currently taking."", 'Patient: I do not have a fever, headache, or difficulty breathing. I do not have more information.', ""Diagnosis: ['Allergic Rhinitis', 'Sinusitis', 'Viral Upper Respiratory Infection', 'Angioedema']"", ""Doctor: Based on the symptoms you've described, the possible illnesses include Allergic Rhinitis, Sinusitis, Viral Upper Respiratory Infection, and Angioedema. Since you have no further information or questions, I advise you to consult a medical professional for a thorough examination and proper diagnosis.""]"
4,arthritis,"['Rheumatoid Arthritis', 'Polymyalgia Rheumatica', 'Systemic Lupus Erythematosus', 'Fibromyalgia']",1,1,5,"[""Patient: I've been feeling really weak in my muscles, and my neck has been really stiff. My joints have been swelling up, and it's hard for me to move around without feeling stiff. Walking has been really painful too."", ""Diagnosis: ['Rheumatoid Arthritis', 'Polymyalgia Rheumatica', 'Systemic Lupus Erythematosus', 'Fibromyalgia']"", ""Doctor: Based on the symptoms you've described, there are a few possible conditions that could be causing these issues. It would help if you could provide more information about any other symptoms you might be experiencing, such as fever or fatigue, or if you are taking any medications. Additionally, knowing your medical history could provide more context. Could you share more details about your health background?"", 'Patient: I do not have more information.', ""Diagnosis: ['Rheumatoid Arthritis', 'Polymyalgia Rheumatica', 'Systemic Lupus Erythematosus', 'Fibromyalgia']"", ""Doctor: I understand you do not have more information at this time. If you develop additional symptoms or recall details about your health background, please let me know. Meanwhile, based on the symptoms you've described—muscle weakness, joint swelling, stiffness, and painful movement—these are the possible conditions that could be causing these issues: Rheumatoid Arthritis, Polymyalgia Rheumatica, Systemic Lupus Erythematosus, and Fibromyalgia. I recommend consulting a medical professional for a thorough examination and diagnostic testing to determine the exact cause."", ""Patient: I understand. I'll consult a medical professional for a thorough examination and diagnostic testing. Thank you for your advice."", ""Doctor: Based on the symptoms you've described—muscle weakness, joint swelling, stiffness, and painful movement—the possible conditions that could be causing these issues are Rheumatoid Arthritis, Polymyalgia Rheumatica, Systemic Lupus Erythematosus, and Fibromyalgia. I advise consulting a medical professional for a thorough examination and diagnostic testing to accurately determine the cause. Thank you for reaching out.""]"
5,arthritis,"['Fibromyalgia', 'Rheumatoid Arthritis', 'Osteoarthritis', 'Polymyalgia Rheumatica']",0,1,4,"[""Patient: I've been having a lot of pain in my joints, especially in my neck and shoulders. It's hard to move around and I'm always feeling stiff. I've also been having trouble sleeping because of the pain."", ""Diagnosis: ['Rheumatoid Arthritis', 'Osteoarthritis', 'Fibromyalgia', 'Polymyalgia Rheumatica']"", 'Doctor: Based on your symptoms of joint pain, stiffness especially in the neck and shoulders, and trouble sleeping, there are a few possible causes. However, I need more information to improve the accuracy. Can you tell me if you have any other symptoms like fatigue, fever, or weight changes? Also, are you currently taking any medications, or do you have a history of any medical conditions related to joint pain?', ""Patient: I do often feel fatigued, but I haven't noticed any fever or weight changes. I'm not currently taking any medications and I don't have a history of medical conditions related to joint pain."", ""Diagnosis: ['Fibromyalgia', 'Rheumatoid Arthritis', 'Osteoarthritis', 'Polymyalgia Rheumatica']"", ""Doctor: Thank you for the additional information. Considering your symptoms of joint pain, stiffness, trouble sleeping, and fatigue, along with the absence of fever or weight changes, muscle-related conditions could be more relevant. Sometimes lifestyle factors, stress, or sleep disorders can exacerbate symptoms as well. Is there anything else unusual that you have noticed, such as changes in skin or digestive issues, that you haven't mentioned yet?"", 'Patient: I do not have more information.', ""Doctor: Based on the information you've provided, your symptoms could be associated with conditions such as Fibromyalgia, Rheumatoid Arthritis, Osteoarthritis, or Polymyalgia Rheumatica. It's important to consult a medical professional who can conduct a thorough examination and provide a precise diagnosis and treatment plan.""]"
6,bronchial asthma,"['Asthma', 'Bronchitis', 'Chronic Obstructive Pulmonary Disease (COPD)', 'Pneumonia']",1,1,5,"[""Patient: I've been having a hard time breathing lately. I feel like I can't get enough air, and my chest feels tight. I've also been coughing a lot, and I've been producing a lot of mucus."", ""Diagnosis: ['Asthma', 'Chronic Obstructive Pulmonary Disease (COPD)', 'Bronchitis', 'Pneumonia']"", ""Doctor: Given your symptoms of difficulty breathing, chest tightness, coughing, and mucus production, here are some possible illnesses. However, to improve the accuracy of the diagnosis, could you provide more information about any past medical history, such as conditions like asthma or allergies, and let me know if you're currently taking any medications?"", 'Patient: I do not know.', ""Diagnosis: ['Asthma', 'Chronic Obstructive Pulmonary Disease (COPD)', 'Bronchitis', 'Pneumonia']"", ""Doctor: Since the similarity score is below the threshold, I'd like to ask you a few additional questions to help improve the accuracy of the diagnosis. Have you experienced any recent fever or chills? Do you smoke or have a history of smoking? Are there any environmental factors, such as air quality or exposure to allergens, that might be affecting your breathing? Also, are you experiencing any additional symptoms like wheezing or fatigue?"", ""Patient: I haven't had any recent fever or chills. I don't smoke, and I haven't smoked in the past. I haven't noticed specific environmental factors, but I do have symptoms like wheezing and fatigue."", ""Diagnosis: ['Asthma', 'Chronic Obstructive Pulmonary Disease (COPD)', 'Bronchitis', 'Pneumonia']"", ""Doctor: With your additional symptoms of wheezing and fatigue, these conditions remain relevant. Given the symptoms you described, Asthma and Bronchitis are particularly likely. However, it's still important to consider other conditions like Chronic Obstructive Pulmonary Disease (COPD) and Pneumonia based on your breathing issues and mucus production. Would you like to add more details to help refine the diagnosis?"", ""Patient: I've been having a hard time breathing, like I can't get enough air, and my chest feels tight. I've also been coughing a lot and producing a lot of mucus. I also experience wheezing and fatigue. I do not have more information."", ""Diagnosis: ['Asthma', 'Bronchitis', 'Chronic Obstructive Pulmonary Disease (COPD)', 'Pneumonia']"", 'Doctor: Thank you for confirming your symptoms again, including wheezing and fatigue. Based on your symptom profile, the most relevant illnesses continue to be Asthma and Bronchitis, with Chronic Obstructive Pulmonary Disease (COPD) and Pneumonia also being considerations. If you have any more details or experience any changes in your symptoms, please let me know. Otherwise, I recommend consulting a medical professional for further evaluation.', 'Patient: I do not have more information.', ""Doctor: Based on the symptoms you've described, including difficulty breathing, chest tightness, coughing, mucus production, wheezing, and fatigue, the possible illnesses are Asthma, Bronchitis, Chronic Obstructive Pulmonary Disease (COPD), and Pneumonia. It's important to consult a medical professional for a thorough evaluation and an accurate diagnosis.""]"
7,bronchial asthma,"['Chronic Obstructive Pulmonary Disease (COPD)', 'Acute Bronchitis', 'Pneumonia', 'Asthma']",0,1,1,"[""Patient: I've been having a hard time breathing. I've been coughing a lot and I'm coughing up a lot of thick, sticky mucus. I've also been feeling really tired and weak."", ""Diagnosis: ['Chronic Obstructive Pulmonary Disease (COPD)', 'Acute Bronchitis', 'Pneumonia', 'Asthma']"", 'Doctor: To improve the accuracy of the diagnosis, could you please provide more information? Specifically, do you have any medical history of respiratory issues or allergies? Are you currently on any medications? Additionally, do you have a fever or chest pain?', 'Patient: I do not have more information.', ""Doctor: Based on your symptoms, the possible illnesses include Chronic Obstructive Pulmonary Disease (COPD), Acute Bronchitis, Pneumonia, and Asthma. It's important to consult a medical professional for a thorough examination and accurate diagnosis.""]"
8,cervical spondylosis,"['Muscular Strain', 'Spinal Disorder', 'COVID-19', 'Cervical Spondylosis']",0,1,1,"[""Patient: Hello, I've been having back pain for a while now, and it's been getting worse lately. I also have a cough that won't go away. I've been feeling weak in my arms and legs. My neck hurts, and I've been feeling dizzy and off-balance."", ""Diagnosis: ['Muscular Strain', 'Spinal Disorder', 'COVID-19', 'Cervical Spondylosis']"", ""Doctor: I understand that you're experiencing multiple symptoms including back pain, persistent cough, weakness in limbs, neck pain, dizziness, and balance issues. To improve the accuracy of potential causes, could you provide more information on your medical history and any current medications you are taking? This will help in understanding if any underlying conditions could be contributing to your symptoms."", 'Patient: I do not have more information.', ""Doctor: Based on the symptoms you've described and without additional information on your medical history or medications, here are some possible causes for your symptoms: Muscular Strain, Spinal Disorder, COVID-19, and Cervical Spondylosis. It's important to consult a medical professional to get a proper diagnosis and treatment plan. Please take care and seek medical advice as soon as possible.""]"
9,cervical spondylosis,"['Cervical Radiculopathy', 'Cervical Spondylotic Myelopathy', 'Multiple Sclerosis', 'Thoracic Outlet Syndrome']",0,1,5,"[""Patient: I've been having trouble with my neck. It's been hurting, and I've been having trouble staying balanced. I've also been having numbness in my arms and legs."", ""Diagnosis: ['Cervical Radiculopathy', 'Cervical Spondylotic Myelopathy', 'Multiple Sclerosis', 'Thoracic Outlet Syndrome']"", ""Doctor: It sounds like you're experiencing some troubling symptoms in your neck and limbs. Could you please provide more information about your medical history and any medications you are currently taking? This will help in providing a more accurate assessment."", 'Patient: I do not have more information.', 'Doctor: Based on the symptoms of neck pain, balance issues, and numbness in your arms and legs, the possible illnesses could include Cervical Radiculopathy, Cervical Spondylotic Myelopathy, Multiple Sclerosis, or Thoracic Outlet Syndrome. I advise you to consult a medical professional for a more accurate diagnosis and appropriate treatment.']"
